Title,Video ID,Statistics
Accounting Basics Tutorial | Learn Accounting in 4 Hours | Great Learning,awpv9iVbokQ,"{'viewCount': '4622', 'likeCount': '131', 'favoriteCount': '0', 'commentCount': '10'}"
Become a Machine Learning Engineer | Roadmap to Machine Learning Engineer | Great Learning,Y2d3W0V9N8k,"{'viewCount': '4515', 'likeCount': '104', 'favoriteCount': '0', 'commentCount': '4'}"
Algorithms in Java | Linear search | Binary Search | Greedy Programming | Great Learning,IWy9gHF47-I,"{'viewCount': '6437', 'likeCount': '140', 'favoriteCount': '0', 'commentCount': '5'}"
Become a DevOps Engineer | Roadmap to DevOps Engineer 2022 | Great Learning,wPGW004kTOI,"{'viewCount': '8001', 'likeCount': '99', 'favoriteCount': '0', 'commentCount': '5'}"
Natural Language Processing in Artificial Intelligence using Python - Full Course,igKTO7lQxNo,"{'viewCount': '43249', 'likeCount': '775', 'favoriteCount': '0', 'commentCount': '17'}"
Become a Product Manager | Road Map to Product Manager | Great Learning,6yfc4rVFkeY,"{'viewCount': '6394', 'likeCount': '124', 'favoriteCount': '0', 'commentCount': '7'}"
Human Resource Management | Performance Management | Great Learning,oJPP9P17xT8,"{'viewCount': '15536', 'likeCount': '203', 'favoriteCount': '0', 'commentCount': '14'}"
Become a PHP developer | PHP Developer Roadmap 2022 | Great Learning,n8FhxZ01l08,"{'viewCount': '4934', 'likeCount': '97', 'favoriteCount': '0', 'commentCount': '7'}"
Java Data Structures | Java Tutorial for Beginners - 2022 | Great Learning,AWmPzJWgLAs,"{'viewCount': '7523', 'likeCount': '202', 'favoriteCount': '0', 'commentCount': '10'}"
Becoming an Information Security Engineer - Roadmap | Great Learning,YO2wRE3eS0Q,"{'viewCount': '2349', 'likeCount': '54', 'favoriteCount': '0', 'commentCount': '5'}"
Java Tutorial for Beginners - Full course 2023,TLwCb3vAWok,"{'viewCount': '13183', 'likeCount': '375', 'favoriteCount': '0', 'commentCount': '5'}"
